,一回路压力平均值,一环路冷热段平均值,堆芯出口温度平均值,主蒸汽压力平均值,辅助给水流量平均值,重要厂用水系统压力,DeltaTsat平均值,安全壳压力平均值,SG1水位平均值,稳压器泄压箱压力,压缩空气系统压力,汽机旁路系统蒸汽阀平均开度
145,1.863233515,1.519860858,1.738382565,1.07380178,-1.513543699,-2.006346969,-1.502559717,-2.144801619,-0.888079682,-1.158862429,-1.326892028,-0.878413187
146,1.863343279,1.519860858,1.738382565,1.073788949,-1.513543699,-2.006346969,-1.502335812,-2.144801619,-0.888106791,-1.15930221,-1.326059891,-0.878413187
147,1.863453042,1.519860858,1.738382565,1.073773266,-1.513543699,-2.006346969,-1.502111906,-2.144801619,-0.888133381,-1.159620672,-1.325291765,-0.878413187
148,1.863562806,1.519843172,1.738382565,1.073759009,-1.513543699,-2.006346969,-1.501893598,-2.144801619,-0.888162185,-1.159211221,-1.324459629,-0.878413187
149,1.863672569,1.519843172,1.738382565,1.073743326,-1.513543699,-2.006346969,-1.501669693,-2.144801619,-0.888188275,-1.1588321,-1.323627492,-0.878413187
150,1.863782332,1.519843172,1.738382565,1.073726218,-1.513543699,-2.006346969,-1.501456983,-2.144801619,-0.888219005,-1.158983748,-1.322859366,-0.878413187
151,1.863892096,1.519825486,1.738382565,1.073707684,-1.513543699,-2.006346969,-1.501233078,-2.144801619,-0.88825267,-1.159484188,-1.32209124,-0.878413187
152,1.864001859,1.519825486,1.738382565,1.073687724,-1.513543699,-2.006346969,-1.501009172,-2.144801619,-0.888287356,-1.159514518,-1.321323114,-0.878413187
153,1.864111623,1.519843172,1.738382565,1.073664913,-1.513543699,-2.006346969,-1.500796462,-2.144801619,-0.888321781,-1.159029243,-1.320554988,-0.878413187
154,1.864221386,1.519825486,1.738382565,1.073644953,-1.513543699,-2.006346969,-1.500578154,-2.144801619,-0.88835492,-1.15880177,-1.319722851,-0.878413187
155,1.864331149,1.519825486,1.738382565,1.073623568,-1.513543699,-2.006346969,-1.500359846,-2.144801619,-0.888386671,-1.159135397,-1.318954725,-0.878413187
156,1.864413472,1.519825486,1.738382565,1.073600757,-1.513543699,-2.006346969,-1.500135941,-2.144801619,-0.888417389,-1.159560012,-1.318186599,-0.878413187
157,1.864523235,1.519825486,1.738410702,1.073579371,-1.513543699,-2.006346969,-1.499912036,-2.144801619,-0.888447327,-1.159347705,-1.317354463,-0.878413187
